Site URL,Found Feed URL
https://www.myplate.gov/,—
https://www.fns.usda.gov/,—
https://www.nutrition.gov/,—
https://medlineplus.gov/,—
https://dpcpsi.nih.gov/onr,https://dpcpsi.nih.gov/rss.xml
https://news.harvard.edu/gazette/,https://news.harvard.edu/gazette/feed/
https://news.harvard.edu/gazette/,https://news.harvard.edu/gazette/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnews.harvard.edu%2Fgazette%2F&format=xml
https://www.hsph.harvard.edu/,https://hsph.harvard.edu/feed/
https://www.hsph.harvard.edu/,https://hsph.harvard.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhsph.harvard.edu%2F&format=xml
https://www.berkeley.edu/,https://www.berkeley.edu/feed/
https://www.berkeley.edu/,https://www.berkeley.edu/comments/feed/
https://www.berkeley.edu/,https://www.berkeley.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.berkeley.edu%2F&format=xml
https://www.ruddcenter.yale.edu/,—
https://www.eatrightpro.org/,—
https://www.eatright.org/,—
https://www.nutrition.org.uk/,—
https://foodinsight.org/,https://ific.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fific.org%2F&format=xml
https://www.who.int/,—
https://dcgreens.org/,https://dcgreens.org/feed/
https://dcgreens.org/,https://dcgreens.org/comments/feed/
https://dcgreens.org/,https://dcgreens.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdcgreens.org%2F&format=xml
https://foodforhealth.org/,—
https://www.medicalnewstoday.com/,https://www.medicalnewstoday.com/rss.xml
https://www.medicalnewstoday.com/,https://www.medicalnewstoday.com/atom.xml
https://www.medpagetoday.com/,https://www.medpagetoday.com/rss/headlines.xml
https://www.livescience.com/health,https://www.livescience.com/feeds.xml
https://www.livescience.com/health,https://www.livescience.com/feeds/tag/health
https://www.livescience.com/health,https://www.livescience.com/feeds/articletype/landing-page
https://www.discovermagazine.com/,—
https://www.webmd.com/diet/news/default.htm,—
https://www.healthline.com/,https://www.healthline.com/rss.xml
https://www.healthline.com/,https://www.healthline.com/atom.xml
https://www.nytimes.com/section/well,https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/well/rss.xml
https://www.npr.org/sections/health-shots/,—
https://www.bbc.com/news/health,https://feeds.bbci.co.uk/news/health/rss.xml
https://www.reuters.com/health/,—
https://www.cnn.com/health,—
https://abcnews.go.com/Health,—
https://www.theatlantic.com/health/,https://www.theatlantic.com/feed/all/
https://www.theatlantic.com/health/,https://www.theatlantic.com/feed/best-of/
https://www.forbes.com/health/,—
https://kffhealthnews.org/,https://kffhealthnews.org/feed
https://kffhealthnews.org/,https://kffhealthnews.org/feed/
https://kffhealthnews.org/,https://kffhealthnews.org/rss
https://kffhealthnews.org/,https://kffhealthnews.org/rss/
https://knowablemagazine.org/,https://knowablemagazine.org/rss
https://www.statnews.com/,https://www.statnews.com/feed/
https://time.com/tag/health/,https://time.com/feed
https://time.com/tag/health/,https://time.com/feed/
https://time.com/tag/health/,https://time.com/rss
https://time.com/tag/health/,https://time.com/rss/
https://time.com/tag/health/,https://time.com/category/nutrition/feed
https://www.sciencenews.org/,—
https://www.mdpi.com/journal/nutrients,—
https://www.frontiersin.org/news/tag/nutrition,—
